"origin_city_name","total_flights_18_19"
"Chicago, IL",962032
"Atlanta, GA",785850
"New York, NY",599657
"Dallas/Fort Worth, TX",584688
"Denver, CO",552134
"Charlotte, NC",501557
"Los Angeles, CA",500840
"Washington, DC",472958
"Houston, TX",472442
"Seattle, WA",379367
