"month","unique_carrier","carrier_name","sdomt_gallons","satl_gallons","spac_gallons","slat_gallons","sint_gallons","ts_gallons","tdomt_gallons","tint_gallons","total_gallons","sdomt_cost","satl_cost","spac_cost","slat_cost","sint_cost","ts_cost","tdomt_cost","tint_cost","total_cost","year"
1,"GFQ","Gulf And Caribbean Cargo",0,0,0,0,0,0,209031,149862,358893,0,0,0,0,0,0,525709,384656,910365,2019
1,"GL","Miami Air International",0,0,0,0,0,0,471431,148428,619859,0,0,0,0,0,0,1315825,414285,1730110,2019
1,"HA","Hawaiian Airlines Inc.",15257659,0,7346463,0,7346463,22604122,15280124,7346463,22626587,27092396,0,12857142,0,12857142,39949538,27129872,12857142,39987014,2019
1,"KAQ","Kalitta Air LLC",0,0,0,0,0,0,1444216,3970232,5414448,0,0,0,0,0,0,3030143,9034418,12064561,2019
1,"KD","Western Global",0,0,0,0,0,0,1404278,1361512,2765790,0,0,0,0,0,0,2693455,1751966,4445421,2019
1,"KH","Aloha Air Cargo",432202,0,0,0,0,432202,432202,0,432202,863451,0,0,0,0,863451,863451,0,863451,2019
1,"KLQ","Kalitta Charters II",0,0,0,0,0,0,67948,124783,192731,0,0,0,0,0,0,192105,348416,540521,2019
1,"L2","Lynden Air Cargo Airlines",96124,0,0,0,0,96124,174531,25265,199796,209803,0,0,0,0,209803,425821,75490,501311,2019
1,"M6","Amerijet International",0,0,0,995280,995280,995280,513000,1259892,1772892,0,0,0,1985393,1985393,1985393,1023337,2513244,3536581,2019
1,"MQ","Envoy Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,"N8","National Air Cargo Group Inc d/ba National Airlines",0,0,0,0,0,0,67058,730951,798009,0,0,0,0,0,0,225990,2182806,2408796,2019
1,"NC","Northern Air Cargo Inc.",336228,0,0,0,0,336228,388494,0,388494,661891,0,0,0,0,661891,762275,0,762275,2019
1,"NK","Spirit Air Lines",31236251,0,0,4626264,4626264,35862515,31236251,4626264,35862515,62051998,0,0,9190250,9190250,71242248,62051998,9190250,71242248,2019
1,"OH","PSA Airlines Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
1,"OO","SkyWest Airlines Inc.",8150037,0,0,0,0,8150037,8150037,0,8150037,17779528,0,0,0,0,17779528,17779528,0,17779528,2019
1,"PFQ","Asia Pacific",0,0,0,0,0,0,0,330575,330575,0,0,0,0,0,0,0,640575,640575,2019
