"seats","passengers","distance","unique_carrier","year","month","class"
6561,4829,601,"YV",2019,5,"F"
980,916,641,"G7",2019,8,"F"
76,13,223,"OO",2019,1,"F"
0,0,524,"ABX",2018,1,"G"
1050,370,248,"WN",2018,7,"F"
2844,2062,296,"OO",2019,12,"F"
8,3,144,"04Q",2018,11,"L"
10868,7157,584,"WN",2019,6,"F"
130,57,226,"EV",2018,5,"F"
5740,4453,625,"G7",2018,4,"F"
7999,6536,422,"DL",2018,2,"F"
2204,1459,729,"QK",2018,9,"F"
2795,2048,435,"OO",2018,9,"F"
362,162,237,"AA",2019,9,"F"
5265,3850,411,"OH",2019,7,"F"
70,55,872,"YX",2019,9,"F"
0,0,135,"5X",2019,4,"G"
65,64,641,"EV",2018,5,"F"
0,0,1901,"FX",2018,3,"G"
50,24,113,"EV",2018,9,"F"
11200,8611,1262,"WN",2019,1,"F"
220,197,240,"MQ",2019,9,"F"
840,577,448,"G7",2019,1,"F"
310,0,770,"WL",2019,6,"L"
9038,6254,2615,"AA",2018,11,"F"
0,0,75,"7S",2018,9,"G"
0,0,1860,"5X",2019,7,"G"
10,5,3460,"CAZ",2018,5,"L"
5939,4616,780,"DL",2019,2,"F"
6540,5205,4511,"JU",2018,6,"F"
9975,7931,362,"WN",2018,3,"F"
4577,4321,1124,"DL",2018,6,"F"
6086,5893,1981,"UA",2018,3,"F"
1,0,143,"8V",2019,8,"F"
9,0,76,"H6",2019,11,"F"
1197,985,45,"1QQ",2018,11,"F"
2052,1567,767,"YX",2018,5,"F"
8110,7546,3385,"TP",2018,10,"F"
836,541,177,"MQ",2018,6,"F"
11400,7484,524,"MQ",2018,4,"F"
780,137,286,"1AQ",2018,3,"F"
28593,25276,1303,"AA",2018,5,"F"
1200,1082,258,"OO",2018,3,"F"
185,47,16,"2O",2018,8,"L"
4017,2582,7490,"CZ",2019,10,"F"
18252,15356,1217,"AA",2019,11,"F"
9021,8065,4750,"BA",2018,3,"F"
7568,5226,4420,"DI",2019,1,"F"
1024,942,1882,"UA",2018,12,"F"
10,7,1087,"13Q",2018,1,"L"
200,155,160,"MQ",2019,6,"F"
3712,3391,110,"AA",2018,4,"F"
4099,2784,1080,"DL",2018,5,"F"
512,422,1114,"UA",2018,10,"F"
0,0,726,"FX",2019,11,"G"
0,0,1239,"KE",2018,7,"P"
2067,1732,253,"AS",2019,12,"F"
3990,3250,235,"G7",2019,3,"F"
0,0,261,"KO",2018,3,"G"
0,0,153,"FX",2018,8,"G"
2660,2200,282,"OO",2018,7,"F"
70,69,942,"G7",2018,7,"F"
0,0,1264,"FX",2018,9,"G"
0,0,1264,"FX",2019,2,"G"
1248,1188,1371,"G4",2018,6,"F"
50,0,446,"OO",2018,5,"F"
17732,16465,853,"WN",2019,2,"F"
10880,7534,646,"AA",2018,4,"F"
50,47,826,"OO",2019,7,"F"
50,35,96,"MQ",2019,3,"F"
360,170,182,"9X",2018,11,"F"
160,104,524,"DL",2018,12,"F"
0,0,570,"FX",2018,3,"G"
8786,8156,152,"DL",2019,7,"F"
895,718,1145,"UA",2019,8,"F"
3146,2832,1447,"WN",2018,1,"F"
1068,858,2556,"AS",2018,12,"F"
5,0,25,"J5",2019,9,"F"
0,0,4308,"CK",2018,11,"G"
11324,8123,322,"OH",2018,1,"F"
162,52,59,"J5",2018,9,"F"
2750,2343,196,"ZW",2019,8,"F"
4708,4107,944,"DL",2019,5,"F"
173,0,2053,"GL",2019,6,"L"
