"seats","passengers","distance","unique_carrier","year","month","class"
8774,6933,597,"YV",2018,5,"F"
4224,3746,1814,"AA",2018,5,"F"
1404,1282,977,"G4",2018,6,"F"
4636,3567,1523,"MQ",2018,10,"F"
1024,557,319,"3M",2019,12,"F"
50,50,95,"EV",2018,7,"F"
155,0,1018,"WL",2018,11,"L"
16731,14792,696,"WN",2018,5,"F"
3000,2240,381,"B6",2018,8,"F"
11520,10420,1119,"NK",2018,8,"F"
600,522,137,"EV",2019,12,"F"
0,0,610,"FX",2019,3,"G"
0,0,4920,"RU",2018,6,"G"
5396,3506,613,"YX",2018,8,"F"
143,133,1516,"WN",2019,11,"F"
0,0,337,"5X",2019,2,"G"
6,1,148,"8V",2019,7,"F"
0,0,565,"U7",2018,4,"P"
706,359,753,"Y4",2018,7,"F"
1540,1305,987,"AA",2018,6,"F"
0,0,672,"FX",2018,4,"G"
0,0,172,"FX",2018,10,"G"
187,139,430,"AA",2019,12,"F"
128,127,708,"UA",2019,1,"F"
50,31,112,"9E",2018,2,"F"
0,0,2171,"NC",2019,1,"P"
50,32,289,"OH",2018,8,"F"
8358,7550,5062,"UA",2019,8,"F"
9,0,61,"8V",2018,2,"L"
504,479,2454,"UA",2019,10,"F"
126,41,39,"4W",2019,11,"F"
27742,21618,369,"WN",2018,9,"F"
25286,18303,308,"CP",2018,12,"F"
152,75,524,"OO",2019,11,"F"
6820,5225,1085,"DL",2018,5,"F"
3021,2218,2552,"AS",2019,2,"F"
18876,16049,587,"WN",2019,7,"F"
90,13,39,"3F",2018,3,"F"
179,16,765,"09Q",2019,11,"L"
5280,4634,1067,"AA",2018,8,"F"
0,0,1877,"FX",2018,3,"G"
3192,2914,2176,"WS",2018,2,"F"
396,325,1464,"AA",2018,3,"F"
7722,6617,822,"WN",2019,12,"F"
2280,1642,1476,"OO",2018,7,"F"
50,45,193,"OO",2019,11,"F"
244,237,1747,"DL",2019,9,"F"
0,0,403,"FX",2018,4,"G"
1404,1276,538,"G4",2019,7,"F"
1560,1410,1078,"G4",2019,2,"F"
540,275,330,"1WQ",2019,1,"L"
4180,2503,188,"OO",2019,4,"F"
7800,5866,1010,"B6",2019,1,"F"
6,3,8,"2O",2018,1,"F"
0,0,3912,"WI",2019,7,"G"
364,307,1044,"NK",2019,9,"F"
5397,4008,1953,"DL",2019,1,"F"
11222,10011,1622,"AA",2018,1,"F"
537,453,1481,"UA",2018,9,"F"
1113,940,1542,"AS",2019,12,"F"
187,124,1037,"AA",2019,11,"F"
2590,2160,296,"YX",2018,5,"F"
2450,2290,581,"WN",2019,12,"F"
11440,10237,675,"WN",2019,7,"F"
8779,7843,3643,"DL",2018,9,"F"
12735,10366,594,"DL",2018,1,"F"
6232,5325,500,"OH",2018,2,"F"
11880,9921,1084,"NK",2018,3,"F"
7936,7496,1388,"AA",2019,3,"F"
6952,5874,712,"DL",2018,7,"F"
63,26,57,"2O",2019,10,"F"
1729,1217,562,"OH",2018,4,"F"
424,336,333,"3E",2018,9,"F"
8910,8352,695,"DL",2019,4,"F"
149,0,300,"DL",2019,12,"L"
7436,5334,496,"WN",2018,3,"F"
9492,8675,1050,"B6",2019,8,"F"
24,1,44,"H6",2019,12,"L"
5148,3506,1052,"WN",2019,1,"F"
3000,2327,589,"MQ",2018,4,"F"
435,397,1334,"NK",2019,11,"F"
3900,3596,106,"9E",2018,4,"F"
9895,8316,1448,"DL",2019,3,"F"
6,0,136,"H6",2019,9,"F"
149,149,1552,"09Q",2018,4,"L"
7068,6509,738,"NK",2019,5,"F"
0,0,200,"FX",2019,11,"G"
0,0,4344,"3S",2018,9,"G"
5,1,57,"K2",2019,11,"L"
250,238,1131,"EV",2018,7,"F"
0,0,3799,"KE",2019,3,"G"
2356,1606,444,"OO",2019,1,"F"
1022,933,2288,"AS",2018,10,"F"
12057,10336,1598,"DL",2018,3,"F"
4200,2316,2421,"WN",2018,9,"F"
7961,5945,5296,"SA",2019,5,"F"
13500,11387,2090,"4O",2019,6,"F"
0,0,4158,"KAQ",2018,1,"P"
8,0,244,"2LQ",2019,3,"L"
1890,1814,964,"G7",2019,7,"F"
208,207,692,"DL",2019,12,"F"
364,207,948,"UA",2019,8,"L"
2812,2483,1389,"YX",2018,12,"F"
14,9,1306,"2UQ",2018,12,"L"
600,579,649,"UA",2019,12,"F"
2700,2486,443,"EV",2018,2,"F"
675,354,253,"KS",2019,9,"F"
10200,8714,430,"AA",2019,11,"F"
12,2,29,"K3",2019,3,"F"
356,67,386,"AS",2019,1,"F"
150,144,920,"AA",2019,10,"F"
7210,5827,488,"YX",2019,5,"F"
179,161,334,"UA",2019,12,"F"
70,67,1123,"YX",2019,11,"F"
7375,6545,2454,"DL",2019,12,"F"
364,353,1106,"NK",2019,4,"F"
50,20,431,"MQ",2018,12,"F"
2004,1882,1558,"F9",2019,3,"F"
1890,1730,693,"YX",2018,6,"F"
12600,11181,1855,"WN",2018,8,"F"
0,0,1224,"FX",2019,5,"G"
0,0,511,"FX",2018,8,"G"
1680,1470,1231,"WS",2018,4,"F"
11324,8959,93,"QX",2018,7,"F"
8466,6105,1346,"UA",2019,2,"F"
1102,1036,1640,"DL",2018,8,"F"
0,0,195,"KO",2018,1,"G"
3717,3161,961,"DL",2019,7,"F"
10998,7387,7930,"QR",2018,3,"F"
0,0,328,"5X",2018,3,"G"
1944,1717,1494,"Y4",2019,7,"F"
1064,630,935,"YX",2019,12,"F"
16846,15226,957,"DL",2018,11,"F"
0,0,4383,"5X",2018,3,"G"
4654,3610,1771,"UA",2018,2,"F"
14300,11187,479,"WN",2018,2,"F"
5940,4962,954,"AS",2019,3,"F"
366,191,1379,"UA",2018,4,"F"
0,0,3680,"FX",2018,11,"G"
129,120,603,"SY",2018,2,"L"
0,0,111,"FX",2019,6,"G"
572,313,870,"WN",2019,2,"F"
5,2,69,"SNK",2019,6,"L"
8704,8290,4162,"AA",2019,10,"F"
3382,1564,129,"AS",2018,7,"F"
207,168,1010,"YX",2019,9,"F"
8,4,127,"H6",2018,11,"F"
4550,4274,2075,"WN",2019,10,"F"
187,161,1587,"AA",2019,6,"F"
8319,7789,1979,"DL",2018,5,"F"
0,0,1631,"5Y",2019,7,"P"
0,0,528,"FX",2018,5,"G"
360,134,811,"NK",2018,10,"F"
8000,7157,304,"AA",2018,8,"F"
0,0,642,"5X",2019,12,"G"
120,31,150,"H6",2018,9,"F"
27300,24523,1237,"B6",2018,5,"F"
1328,1228,723,"G4",2018,6,"F"
1408,1219,1042,"UA",2018,8,"F"
0,0,2060,"W8",2019,9,"P"
792,615,1097,"DL",2019,6,"F"
5836,3873,393,"DL",2018,4,"F"
1300,753,284,"OO",2019,1,"F"
12,3,1107,"27Q",2018,8,"L"
14,2,319,"VJT",2019,8,"L"
72,0,550,"DL",2019,4,"L"
540,471,465,"G4",2018,6,"F"
228,77,677,"OO",2018,11,"F"
12621,10754,4211,"DL",2018,12,"F"
3950,1906,127,"EV",2018,3,"F"
27,10,79,"8E",2018,9,"L"
179,0,1225,"09Q",2019,12,"L"
312,292,1553,"G4",2018,6,"F"
0,0,1438,"5X",2019,2,"G"
16,0,160,"KO",2019,9,"L"
2971,2231,569,"YV",2019,12,"F"
148,119,794,"SY",2019,9,"L"
525,255,523,"WN",2018,11,"F"
156,86,826,"G4",2018,11,"L"
169,123,1008,"UA",2018,7,"F"
50,0,112,"EV",2018,8,"F"
195,151,436,"MQ",2019,1,"F"
4320,4181,599,"OO",2019,5,"F"
3332,1550,1670,"VX",2018,1,"F"
17120,15022,529,"AA",2018,6,"F"
2280,2003,1482,"OO",2018,6,"F"
50,34,89,"OO",2018,2,"F"
76,72,1014,"YX",2018,6,"F"
150,112,901,"UA",2019,10,"F"
2088,1689,223,"DL",2018,11,"F"
5328,4223,4222,"DL",2018,12,"F"
0,0,4452,"3S",2018,11,"G"
330,311,405,"DL",2019,11,"F"
0,0,27,"7S",2018,2,"G"
2204,1833,607,"MQ",2019,4,"F"
10339,8753,1107,"DL",2018,12,"F"
70,60,334,"G7",2019,11,"F"
2200,1203,96,"PT",2018,2,"F"
0,0,5659,"5Y",2019,11,"P"
179,56,251,"09Q",2018,4,"L"
3712,2285,969,"AA",2018,1,"F"
168,115,491,"XP",2018,5,"L"
572,334,1933,"WN",2018,12,"F"
1795,1564,2514,"AC",2019,9,"F"
1400,1310,973,"WN",2019,2,"F"
4036,3420,325,"YV",2019,8,"F"
175,143,523,"WN",2019,1,"F"
16588,13908,879,"WN",2018,4,"F"
0,0,8,"5X",2018,11,"G"
0,0,445,"FX",2019,9,"G"
179,0,303,"09Q",2018,3,"L"
875,763,2110,"WN",2018,9,"F"
90,63,100,"GV",2018,3,"F"
4060,3379,1557,"NK",2019,8,"F"
306,106,74,"8E",2018,2,"F"
14014,12270,1069,"WN",2018,6,"F"
1500,971,198,"OO",2019,9,"F"
3750,3510,1182,"UA",2019,1,"F"
9,9,200,"V8",2018,11,"L"
1038,863,4202,"IB",2018,4,"F"
178,142,1774,"AS",2018,1,"F"
384,274,853,"AA",2018,3,"F"
63,44,47,"2O",2019,9,"F"
25,9,36,"7S",2018,6,"F"
304,241,1533,"CP",2018,11,"F"
0,0,3433,"KD",2019,3,"P"
2550,1729,533,"EV",2018,12,"F"
2724,2107,1685,"Y4",2019,12,"F"
10,0,41,"K3",2018,7,"L"
0,0,337,"FX",2019,12,"G"
4332,3176,530,"YX",2019,4,"F"
72,0,14,"H6",2018,10,"L"
0,0,244,"FX",2018,1,"G"
10296,9562,1167,"WN",2019,5,"F"
149,74,235,"DL",2019,7,"F"
179,96,541,"UA",2019,9,"F"
1050,906,1162,"OO",2019,8,"F"
160,154,1623,"DL",2019,8,"F"
126,115,1452,"UA",2018,2,"F"
5,1,183,"8E",2019,3,"L"
5766,5285,1730,"AM",2019,10,"F"
5131,4941,1307,"Y4",2019,1,"F"
400,332,1428,"B6",2018,5,"F"
25384,21779,337,"CP",2018,8,"F"
8151,6633,967,"WN",2018,10,"F"
339,288,1206,"WS",2018,1,"F"
6750,5427,613,"UA",2019,8,"F"
2176,1607,783,"UA",2019,5,"F"
3,0,11,"K2",2018,8,"F"
130,113,668,"EV",2018,1,"F"
4690,4309,1092,"YX",2019,6,"F"
2990,2362,1053,"F9",2019,6,"F"
756,604,1554,"UA",2019,6,"F"
0,0,233,"FX",2019,5,"G"
9438,8360,277,"WN",2018,10,"F"
70,47,222,"OO",2019,5,"F"
9,2,52,"8V",2019,3,"L"
179,112,1195,"UA",2018,9,"F"
0,0,2608,"WI",2019,8,"G"
96,7,95,"K2",2019,1,"F"
774,512,195,"V8",2019,8,"F"
70,50,299,"G7",2019,12,"F"
0,0,328,"5X",2018,3,"G"
299,130,4371,"LO",2018,9,"F"
2340,2152,1111,"G4",2019,7,"F"
8,2,162,"04Q",2019,10,"L"
9,0,161,"8E",2018,8,"L"
15015,9739,187,"WN",2018,11,"F"
69,0,1678,"OO",2019,7,"F"
72,18,158,"AN",2019,5,"F"
76,51,416,"OO",2019,10,"F"
715,692,804,"WN",2018,2,"F"
6,0,29,"K2",2019,1,"L"
3952,3406,164,"9E",2018,3,"F"
1950,1817,1107,"AA",2018,2,"F"
175,174,1050,"WN",2018,9,"F"
9,3,46,"GV",2019,7,"F"
234,147,190,"YV",2018,10,"F"
3675,1675,277,"WN",2018,7,"F"
8790,6810,502,"DL",2019,11,"F"
4097,3395,2378,"AS",2018,1,"F"
9790,8478,2182,"AS",2019,9,"F"
50,48,131,"OO",2019,4,"F"
0,0,39,"7S",2018,8,"G"
0,0,134,"FX",2019,7,"G"
150,58,689,"UA",2018,12,"F"
37,1,0,"7H",2019,11,"L"
3224,3083,271,"DL",2018,5,"F"
2647,2479,273,"9E",2019,4,"F"
45,13,42,"GV",2019,9,"F"
1284,859,423,"G4",2018,11,"F"
2280,1989,508,"OO",2019,4,"F"
0,0,596,"5Y",2019,2,"P"
2320,1884,716,"NK",2019,8,"F"
5250,4713,628,"UA",2018,3,"F"
50,50,441,"ZW",2018,8,"F"
26,6,2449,"0WQ",2018,2,"L"
4576,3918,1197,"AA",2018,2,"F"
1350,1212,516,"OO",2018,12,"F"
0,0,14,"7S",2019,5,"G"
6840,6167,1028,"NK",2019,5,"F"
4464,4464,1337,"CM",2018,7,"F"
18696,16567,1065,"NK",2018,2,"F"
900,548,1072,"G4",2018,10,"F"
0,0,117,"FX",2018,5,"G"
3,0,38,"K2",2018,3,"F"
14,5,142,"LF",2019,6,"L"
0,0,738,"5X",2019,9,"G"
135,40,140,"GV",2018,7,"F"
18240,14891,3452,"AA",2019,5,"F"
2550,1860,594,"EV",2018,9,"F"
7680,6534,328,"AA",2018,11,"F"
636,607,2627,"AS",2019,12,"F"
36,30,0,"YR",2018,1,"L"
1430,1287,1506,"WN",2019,8,"F"
180,0,513,"G4",2018,8,"L"
350,310,1123,"WN",2018,2,"F"
9,3,86,"AN",2019,10,"F"
179,168,1388,"UA",2018,6,"F"
0,0,329,"5V",2019,6,"G"
1888,1512,3745,"LX",2019,5,"F"
5952,5084,1276,"AM",2018,1,"F"
0,0,1624,"5X",2018,1,"G"
189,0,1593,"7C",2019,4,"F"
436,366,0,"YR",2019,2,"L"
3800,2885,231,"9E",2018,8,"F"
187,167,197,"AA",2019,12,"F"
4004,3369,641,"NK",2019,2,"F"
0,0,3433,"KD",2019,9,"P"
2160,1696,708,"G4",2018,2,"F"
7,0,49,"7S",2019,5,"G"
4879,4273,1587,"DL",2018,10,"F"
9347,6757,359,"KV",2018,12,"F"
10136,9685,1611,"AA",2019,11,"F"
76,76,655,"YX",2019,6,"F"
9,2,203,"5V",2019,6,"L"
0,0,77,"FX",2019,9,"G"
7579,6929,1521,"WN",2018,6,"F"
636,602,2182,"AS",2019,6,"F"
2625,2236,721,"WN",2018,4,"F"
6300,4929,258,"UA",2019,10,"F"
12100,4151,2601,"WW",2018,6,"F"
2128,1977,1117,"YV",2018,4,"F"
1863,1352,942,"YX",2019,5,"F"
114,39,38,"H6",2018,9,"F"
0,0,158,"22Q",2018,8,"F"
4290,3878,1216,"WN",2019,7,"F"
3984,3145,1416,"UA",2019,5,"F"
16016,11097,547,"WN",2019,4,"F"
2520,2445,1900,"F9",2018,7,"F"
2280,2110,1362,"YV",2018,8,"F"
1,0,148,"7S",2019,6,"G"
0,0,166,"FX",2018,2,"G"
624,418,666,"G4",2018,12,"F"
175,174,1137,"WN",2018,7,"F"
15394,12295,236,"UA",2018,11,"F"
20878,15316,368,"WN",2019,10,"F"
874,673,622,"UA",2018,1,"F"
9438,8275,1044,"WN",2018,11,"F"
0,0,655,"FX",2019,3,"G"
3667,3317,2688,"DL",2018,10,"F"
14875,13265,480,"WN",2018,6,"F"
2340,2053,550,"G4",2018,9,"F"
318,230,204,"AS",2019,10,"F"
14533,11999,577,"DL",2019,2,"F"
1488,1257,1137,"G4",2019,1,"F"
29800,27601,1475,"B6",2018,12,"F"
2226,1737,2457,"AS",2019,10,"F"
314,214,1183,"DL",2019,2,"F"
9,1,128,"KAH",2019,8,"L"
1850,1669,296,"EV",2018,11,"F"
0,0,4680,"CI",2019,5,"G"
128,117,1199,"AA",2018,3,"F"
3499,2457,430,"9E",2019,10,"F"
319,141,626,"7H",2019,8,"L"
4725,3711,843,"WN",2019,9,"F"
8,0,146,"2LQ",2018,12,"P"
2356,1688,328,"YX",2018,10,"F"
50,49,655,"OO",2018,5,"F"
792,578,954,"DL",2018,9,"F"
1536,687,886,"UA",2018,12,"F"
4488,4276,1242,"DL",2019,5,"F"
13,8,784,"27Q",2019,3,"L"
3600,3335,1233,"RV",2019,12,"F"
0,0,184,"FX",2018,8,"G"
203,126,1029,"DL",2019,7,"F"
2870,2414,912,"EV",2019,10,"F"
4250,3673,566,"OO",2019,6,"F"
4180,3097,444,"OO",2019,6,"F"
150,141,2470,"B6",2019,8,"F"
38,0,48,"H6",2018,2,"L"
2850,2188,716,"EV",2019,9,"F"
358,251,1882,"UA",2018,8,"F"
7068,6529,966,"NK",2018,5,"F"
900,778,213,"OO",2018,8,"F"
126,123,1454,"SY",2018,9,"F"
1328,1205,872,"G4",2018,7,"F"
0,0,269,"L2",2018,12,"P"
50,42,256,"AX",2018,1,"F"
490,218,419,"OO",2018,11,"F"
6,0,35,"3AQ",2019,1,"L"
2724,1548,5061,"CA",2018,8,"F"
1859,1564,1984,"WN",2019,3,"F"
4480,3490,1420,"DL",2018,4,"F"
0,0,100,"1TQ",2018,2,"P"
351,251,290,"KAT",2019,6,"L"
250,153,2032,"1BQ",2018,5,"L"
6,0,24,"K3",2019,7,"F"
16640,14802,361,"AA",2018,6,"F"
8772,7452,3457,"DL",2019,11,"F"
420,362,849,"G7",2019,10,"F"
0,0,184,"5X",2018,3,"G"
179,0,299,"09Q",2018,3,"L"
300,285,1426,"B6",2019,11,"F"
199,84,509,"DL",2018,3,"F"
9,0,42,"GV",2019,8,"L"
0,0,427,"FX",2019,3,"G"
6664,5308,1055,"RV",2018,6,"F"
1748,1209,1050,"9E",2019,2,"F"
4464,4044,602,"F9",2018,11,"F"
4499,3392,223,"DL",2019,5,"F"
4719,3775,946,"WN",2018,8,"F"
14,0,182,"8V",2019,7,"F"
775,0,1017,"WL",2018,10,"L"
0,0,356,"5X",2019,5,"G"
1216,728,365,"OH",2018,8,"F"
27,14,143,"8V",2018,5,"L"
189,48,337,"DL",2018,9,"F"
9,1,69,"H6",2019,5,"F"
345,155,1010,"YX",2018,1,"F"
3500,3046,300,"AX",2019,1,"F"
364,235,1744,"NK",2019,9,"F"
875,730,1363,"WN",2019,9,"F"
7808,6213,1233,"AA",2018,5,"F"
2240,1675,551,"OO",2019,1,"F"
0,0,3386,"PO",2019,1,"P"
7502,5584,3273,"AA",2018,7,"F"
1219,1067,6831,"CI",2018,10,"F"
4550,3546,404,"NK",2019,7,"F"
5642,3972,926,"NK",2019,1,"F"
155,0,1972,"WL",2019,5,"L"
640,543,789,"AA",2018,6,"F"
144,96,152,"3BQ",2019,10,"F"
1380,1177,144,"OO",2019,2,"F"
172,155,1644,"AA",2019,7,"F"
0,0,1506,"WI",2019,7,"G"
70,48,187,"OO",2019,2,"F"
12862,11584,1535,"DL",2019,4,"F"
34606,27235,369,"WN",2019,5,"F"
160,150,1235,"DL",2019,6,"F"
0,0,851,"FX",2019,1,"G"
9911,7283,529,"AA",2018,12,"F"
108,44,5,"8E",2018,11,"F"
90,46,52,"8E",2018,8,"F"
0,0,4578,"5Y",2018,6,"P"
128,64,491,"UA",2019,5,"F"
5092,3858,299,"MQ",2019,3,"F"
0,0,604,"5X",2019,4,"G"
1302,1100,414,"G4",2019,7,"F"
9,8,74,"H6",2019,9,"L"
125,43,57,"2O",2019,3,"F"
187,164,430,"AA",2019,12,"F"
9,2,268,"4W",2018,7,"L"
0,0,3433,"KD",2018,12,"P"
1050,1011,1099,"WN",2018,5,"F"
8368,6637,130,"AA",2018,11,"F"
4960,4427,1107,"AA",2018,7,"F"
4584,3699,1197,"B6",2019,3,"F"
4370,3063,701,"OO",2019,12,"F"
12,3,10,"3F",2018,9,"F"
0,0,1506,"L7",2018,8,"G"
0,0,5069,"CV",2019,4,"G"
304,242,1730,"OO",2018,9,"F"
3200,2805,1276,"AA",2019,8,"F"
6000,4935,541,"B6",2019,3,"F"
1956,1432,1612,"KV",2018,10,"F"
7130,5849,468,"F9",2019,1,"F"
14,4,3718,"VJT",2018,4,"L"
76,75,1156,"OO",2019,3,"F"
1134,949,403,"OO",2019,2,"F"
1674,1062,1375,"D8",2018,1,"F"
35464,26398,446,"WN",2018,1,"F"
0,0,1506,"LA",2018,7,"G"
23515,21344,4072,"JJ",2019,11,"F"
175,151,1064,"WN",2018,6,"F"
3476,2802,707,"DL",2018,6,"F"
795,623,1774,"AS",2019,8,"F"
18880,17142,1723,"AA",2018,6,"F"
60,3,13,"H6",2019,7,"L"
5320,4236,449,"YV",2019,1,"F"
5425,5059,2417,"WN",2019,7,"F"
8,2,903,"27Q",2018,3,"L"
173,42,1070,"GL",2019,2,"L"
14886,13129,5677,"DL",2019,9,"F"
1150,881,66,"OO",2019,12,"F"
2600,2155,513,"EV",2019,9,"F"
18,11,16,"2O",2019,3,"L"
1248,1136,961,"G4",2019,7,"F"
350,310,277,"WN",2019,3,"F"
572,514,1849,"WN",2019,12,"F"
50,7,201,"OO",2018,4,"F"
0,0,78,"FX",2019,7,"G"
1424,959,93,"AS",2018,4,"F"
50,0,370,"OO",2018,2,"F"
72,49,495,"DL",2018,10,"L"
32,13,124,"H6",2018,5,"F"
186,168,304,"G4",2019,10,"L"
1792,1685,1186,"UA",2019,3,"F"
4200,3474,394,"PT",2018,9,"F"
5810,4304,948,"UA",2019,2,"F"
8,8,515,"27Q",2018,11,"L"
0,0,126,"FX",2019,12,"G"
9,8,200,"J5",2018,8,"F"
30,14,30,"H6",2018,7,"F"
900,487,359,"38Q",2018,9,"F"
1,0,35,"7S",2019,5,"G"
175,155,1048,"WN",2019,1,"F"
320,298,1598,"DL",2018,3,"F"
0,0,987,"5X",2018,12,"G"
9,4,50,"H6",2019,6,"F"
180,112,1862,"G4",2018,9,"L"
3420,3103,2130,"DL",2019,6,"F"
4814,4611,1557,"UA",2019,12,"F"
150,147,49,"B6",2018,5,"F"
3968,2798,1553,"AA",2018,8,"F"
2268,1768,836,"UA",2019,10,"F"
0,0,4531,"CV",2018,5,"G"
100,0,101,"OO",2019,1,"F"
2944,2416,763,"UA",2018,8,"F"
1416,977,781,"G4",2019,1,"F"
175,144,1050,"WN",2018,7,"F"
228,210,977,"YX",2019,10,"F"
2280,1557,972,"YX",2019,9,"F"
0,0,1020,"FX",2019,6,"G"
72,71,446,"DL",2019,10,"L"
1488,960,627,"F9",2018,12,"F"
199,172,2218,"DL",2018,2,"F"
8151,7056,1010,"WN",2019,12,"F"
178,152,2562,"AS",2018,6,"F"
8,3,1584,"13Q",2018,5,"L"
3299,3005,1565,"DL",2018,10,"F"
149,140,169,"DL",2019,2,"F"
0,0,829,"5X",2018,5,"G"
3575,1691,374,"DL",2018,1,"F"
6860,4508,1182,"DL",2019,1,"F"
1950,1341,629,"OH",2018,12,"F"
38,0,249,"H6",2018,8,"L"
300,216,1313,"2HQ",2018,6,"F"
368,268,1457,"AA",2018,11,"F"
3003,2685,1481,"WN",2019,4,"F"
3100,2690,637,"AX",2018,11,"F"
156,123,1025,"G4",2018,12,"F"
1960,892,433,"OO",2018,2,"F"
720,491,1486,"9V",2018,10,"F"
5,1,22,"7S",2018,5,"L"
128,103,1464,"AA",2018,1,"F"
0,0,217,"U7",2019,8,"P"
6,0,41,"H6",2019,12,"L"
543,151,1211,"AA",2019,9,"F"
2535,1917,488,"OH",2018,10,"F"
6360,5337,6744,"NH",2018,9,"F"
18,15,70,"KAH",2018,7,"F"
2356,1667,650,"QX",2018,12,"F"
519,106,612,"GL",2019,12,"L"
9300,6962,1281,"B6",2018,1,"F"
9620,8632,700,"AA",2019,3,"F"
12,2,2401,"27Q",2019,4,"L"
2848,2338,2149,"AS",2019,2,"F"
0,0,655,"FX",2018,1,"G"
50,50,647,"YV",2018,2,"F"
0,0,273,"FX",2019,1,"G"
0,0,232,"FX",2019,3,"G"
756,665,646,"UA",2019,8,"F"
5,0,115,"7S",2018,5,"F"
1596,884,391,"OO",2018,8,"F"
3680,2999,468,"F9",2018,9,"F"
3426,3055,882,"G4",2019,3,"F"
6169,5672,2090,"DL",2019,5,"F"
110,87,689,"DL",2018,7,"F"
219,216,6151,"UA",2019,8,"F"
5580,4014,641,"NK",2018,1,"F"
2850,1800,631,"UA",2018,9,"F"
179,151,1872,"Y4",2019,11,"F"
126,117,429,"UA",2018,10,"F"
11098,10190,7132,"QR",2018,1,"F"
149,136,192,"DL",2019,2,"F"
3700,3475,2311,"AS",2018,10,"F"
1116,1005,1447,"F9",2019,6,"F"
28447,26052,1587,"DL",2019,12,"F"
3343,2644,610,"9E",2019,11,"F"
0,0,849,"U7",2018,12,"P"
1748,1569,1174,"OO",2019,11,"F"
358,331,1222,"UA",2019,3,"F"
69,47,887,"OO",2018,4,"F"
1260,1038,587,"G7",2019,12,"F"
3,1,301,"8V",2019,8,"L"
2178,1428,1574,"OJ",2018,4,"F"
60,6,52,"GV",2018,5,"F"
2100,1880,472,"AX",2018,3,"F"
9598,8497,5111,"AA",2018,1,"F"
624,510,749,"G4",2018,7,"F"
1725,1343,284,"OO",2018,4,"F"
27,20,100,"H6",2018,12,"L"
360,208,779,"F9",2019,7,"F"
886,398,696,"Y4",2018,2,"F"
5580,4844,2227,"NK",2018,5,"F"
4900,4383,1290,"WN",2019,10,"F"
126,122,1034,"UA",2019,5,"F"
1860,1551,1162,"F9",2018,9,"F"
18,0,75,"GV",2018,8,"L"
16732,13932,1549,"DL",2019,10,"F"
468,421,916,"G4",2018,5,"F"
1300,1015,344,"OO",2019,9,"F"
1,1,20,"7S",2019,11,"F"
9,3,156,"GV",2018,2,"L"
11011,7417,361,"WN",2018,1,"F"
22,13,59,"GV",2019,5,"F"
76,59,584,"OO",2018,12,"F"
558,214,164,"AAT",2018,12,"F"
1550,1295,647,"EV",2018,8,"F"
9672,8903,1055,"AA",2019,5,"F"
128,114,194,"AA",2018,12,"F"
528,412,1505,"AA",2018,5,"F"
0,0,609,"5X",2018,11,"G"
1116,816,1454,"F9",2018,7,"F"
910,717,501,"G7",2018,2,"F"
4712,4202,1124,"DL",2018,12,"F"
7560,6560,5160,"UA",2018,6,"F"
199,108,2227,"DL",2019,9,"L"
5456,3339,95,"AS",2018,3,"F"
3900,3526,1216,"G4",2019,3,"F"
182,123,1363,"NK",2019,12,"F"
11454,10299,2425,"UA",2018,5,"F"
10010,8065,721,"DL",2019,1,"F"
112,101,11,"1SQ",2019,3,"F"
1976,1567,387,"OO",2018,5,"F"
1328,714,1091,"UA",2018,8,"F"
4487,4044,834,"DL",2018,8,"F"
3412,2903,590,"DL",2018,12,"F"
1470,1190,641,"G7",2019,1,"F"
280,219,1067,"AA",2019,7,"F"
6,0,93,"2O",2018,11,"L"
1280,1038,837,"AA",2018,2,"F"
76,65,169,"CP",2019,1,"F"
2176,2013,1609,"UA",2019,4,"F"
0,0,393,"NC",2018,11,"G"
10381,7697,3465,"UA",2018,5,"F"
0,0,3043,"KZ",2018,10,"G"
10725,8822,647,"WN",2019,9,"F"
0,0,2846,"5Y",2019,8,"P"
7875,6355,1590,"WN",2019,2,"F"
50,46,641,"OO",2018,12,"F"
0,0,1117,"5X",2019,8,"G"
700,579,414,"WN",2019,1,"F"
5278,4903,1721,"NK",2019,7,"F"
3,0,13,"K2",2018,9,"L"
0,0,241,"8C",2018,12,"P"
350,200,942,"WN",2018,10,"F"
54,4,183,"9K",2018,8,"F"
3409,2713,1507,"Y4",2019,7,"F"
128,99,1675,"AA",2018,5,"F"
30077,28002,1069,"B6",2018,8,"F"
16632,12880,1299,"SY",2018,3,"F"
1275,1125,5109,"LH",2019,10,"F"
1800,1519,296,"OO",2019,9,"F"
583,461,370,"OH",2018,5,"F"
2356,2121,1020,"YX",2019,1,"F"
3120,2666,1208,"G4",2019,3,"F"
166,102,1297,"UA",2019,12,"F"
840,615,177,"EV",2019,8,"F"
250,176,323,"EV",2019,1,"F"
2030,1932,472,"G7",2018,6,"F"
60,0,838,"AMQ",2019,6,"L"
1716,1432,1413,"G4",2018,12,"F"
204,59,27,"H6",2018,3,"F"
0,0,1409,"5X",2018,2,"G"
9,9,98,"8E",2019,2,"L"
9280,6412,1797,"AA",2018,4,"F"
228,200,101,"NK",2019,6,"F"
72,0,936,"DL",2019,7,"L"
2364,2071,337,"UA",2018,3,"F"
11869,8651,528,"WN",2018,12,"F"
0,0,682,"FX",2018,3,"G"
0,0,4004,"CX",2018,8,"G"
210,183,1210,"OO",2019,8,"F"
